name,latitude,longitude
Gombak,3.231285837,101.724552
Taman Melati,3.220577438,101.7213238
Wangsa Maju,3.206028119,101.7324154
Sri Rampai,3.200110099,101.7375778
Setiawangsa,3.176502188,101.7338899
Jelatek,3.167094299,101.7349959
Dato' Keramat,3.166546144,101.7317237
Damai,3.165305397,101.7246605
Ampang Park,3.16077838,101.7206501
KLCC,3.159137861,101.7146242
Kampung Baru,3.161501227,101.7071978
Dang Wangi,3.157013253,101.7041041
Masjid Jamek (KJL),3.150572562,101.6989352
Pasar Seni (KJL),3.142747304,101.6957408
KL Sentral (KJL),3.134324025,101.6862032
Bangsar,3.126945275,101.6792172
Abdullah Hukum,3.118125238,101.6730743
Kerinchi,3.116654184,101.6704904
Universiti,3.113758596,101.662072
Taman Jaya,3.105029454,101.6465213
Asia Jaya,3.111070766,101.640641
Taman Paramount,3.104949112,101.6265053
Taman Bahagia,3.111477435,101.6142317
Kelana Jaya,3.113569286,101.6061261
Lembah Subang,3.111979261,101.5912916
Ara Damansara,3.10749028,101.584407
Glenmarie,3.096142383,101.5932209
Subang Jaya,3.084634529,101.587803
SS 15,3.07725658,101.5887234
SS 18,3.068124735,101.5871466
USJ 7 (KJL),3.056017581,101.5903302
Taipan,3.049064752,101.5928267
Wawasan,3.035671213,101.5891153
USJ 21,3.030652347,101.5836421
Alam Megah,3.023420541,101.5730836
Subang Alam,3.010063794,101.5741263
Putra Heights (KJL),2.994626206,101.5756119
Sungai Buloh,3.207140549,101.5826084
Kampung Selamat,3.19830027,101.5750785
Kwasa Damansara,3.177116443,101.5733075
Kwasa Sentral,3.170478154,101.5648434
Kota Damansara,3.150809805,101.5804333
Surian,3.150518911,101.5898362
Mutiara Damansara,3.154179441,101.6087109
Bandar Utama,3.147381459,101.6206339
TTDI,3.136274806,101.6304968
Phileo Damansara,3.12942777,101.6432646
Pusat Bandar Damansara,3.144269511,101.6652644
Semantan,3.151701706,101.668667
Muzium Negara,3.137957667,101.687718
Pasar Seni (SBK),3.143432917,101.6938954
Merdeka,3.143380116,101.7031725
Bukit Bintang,3.148129322,101.7131961
Tun Razak Exchange (TRX),3.148129322,101.7204409
Cochrane,3.134193128,101.7207097
Maluri (SBK),3.125124195,101.7270244
Taman Pertama,3.113082326,101.7316946
Taman Midah,3.105192771,101.732039
Taman Mutiara,3.092564204,101.7429162
Taman Connaught,3.079076189,101.7482986
Taman Suntex,3.072299195,101.7651812
Sri Raya,3.063131794,101.77506
Bandar Tun Hussein Onn,3.049247443,101.7763925
Batu 11 Cheras,3.041918589,101.7747788
Bukit Dukung,3.027437316,101.772544
Sungai Jernih,3.002006994,101.7856133
Stadium Kajang,2.994759896,101.7843124
Kajang,2.983200157,101.7913419
